Symbol	Description
KOTMY.OB	Koito Manufacturing CO Ltd ADR
KOVR.OB	Korver Corp
KOYWF.OB	Kootenay Silver Inc WT
KOZAY.OB	Koza Altin Islemeleri A S
KPAY.OB	Kinerjapay Corp
KPCM.OB	King Pine Creek Mng Ltd
KPCPF.OB	Kasikornbank Pu F Re
KPCPY.OB	Kasikornbank Pub ADR
KPCUF.OB	Kasikornbank Public Co. Ltd
KPDCF.OB	Keppel Dc REIT Management Petroleum Ltd Units Re
KPELF.OB	Keppel Corp Ltd
KPELY.OB	Keppel Corp Ltd ADR
KPHWF.OB	Key Petroleum Ltd Perth WA
KPIFF.OB	Edgewater Wireless S
KPJHF.OB	Kpj Healthcare Bhd
KPLUF.OB	K+S Ag
KPLUY.OB	K Plus S Ag ADR
KPOC.OB	Kimberly Parry Organics Corp
KPSHF.OB	Kapsch Trafficcom Ag
KPTSF.OB	Kp Tissue Inc
KPZIF.OB	Ophir Gold Corp
KRANF.OB	Kraneshares Icav Kraneshares CSI China Internet
KRBF.OB	Kreido Biofuels Inc
KRDXF.OB	Kardex Ag Zuerich Ord
KRED.OB	Konared Corp
KREVF.OB	K-Real Estate Invest
KRFG.OB	King Resources Inc
KRIUF.OB	Keg Royalties Inc Fd
KRKNF.OB	Kraken Sonar Inc
KRLTF.OB	Karnalyte Res Inc
KRNNF.OB	Krones Ag
KRNTY.OB	Krones Ag ADR
KRPI.OB	Kriptech International Corp
KRRGF.OB	Karora Resources Inc
KRRYF.OB	Kerry Logistics Network Ltd
KRSOF.OB	Karsan Otomotiv Sanayii Ve Ticaret As
KRYAF.OB	Kerry Group Cl A Ord
KRYAY.OB	Kerry Group Plc
KRYPF.OB	Kerry Properties Ltd
KSANF.OB	Kansai Paint [F]
KSBI.OB	KS Bancorp Inc [Nc]
KSFTF.OB	Kingsoft Corp Ltd
KSHB.OB	Kush Bottles Inc
KSIH.OB	KS International Holdings Corp
KSKGF.OB	Kingsgate Cons NL
KSLLF.OB	Kalera As
KSMRF.OB	Contagious Gaming
KSPHF.OB	Kissei Pharmaceuticals CO Ltd
KSQR.OB	Kendall Square Resh Corp
KSRYY.OB	Kose Corp [Japan] ADR
KSSH.OB	Kesselring Hld Corp
KSSRF.OB	Kesselrun Resources Ltd
KSTBF.OB	Kestrel Gold Inc
KTBA.OB	Spc Bellsouth Corts
KTEL.OB	Konatel Inc
KTGDF.OB	Kent Gida
KTHAF.OB	Krung Thai Bank Public Co. Ltd
KTHGF.OB	Kantone Holdings Ltd
KTHN.OB	Katahdin Bankshs Cp
KTNNF.OB	Peakbirch Logic Inc
KTPPF.OB	Katipult Technology Corp
KTWIF.OB	Kurita Water Inds Ltd
KTWIY.OB	Kurita Water Industries Ltd ADR
KTYB.OB	Kentucky Bancshs
KUBTF.OB	Kubota Corp
KUBTY.OB	Kubota Corp
KUKAF.OB	Kuka Ag
KUKAY.OB	Kuka Ag
KULR.OB	Kulr Technology Group Inc
KUNUF.OB	Kunlun Energy
KURRY.OB	Kuraray Co.Ltd
KUYAF.OB	Kuya Silver Corp
KVIL.OB	Kidville Inc
KVLQF.OB	Valore Metals Corp
KVMD.OB	Kelvin Medical Inc
KWBT.OB	Kiwa Bio-Tech Products Group Corp
KWEMF.OB	Kwesst Micro Systems Inc
KWGBF.OB	Kwg Resources Inc
KWGPF.OB	Kwg Group Holdings Ltd
KWHIF.OB	Kawasaki Heavy Industries Ltd [Japan]
KWHIY.OB	Kawasaki Heavy ADR
KWIPF.OB	Kiwi Income Property
KWLGF.OB	Kwg Living Group Hldgs Ltd
KWPCY.OB	Kewpie Corp ADR
KWWMF.OB	Kew Media Group Inc
KXINW.OB	Kaixin Auto Holdings WT
KXPLF.OB	Kent Expl Inc
KXSCF.OB	Kinaxis Inc
KYCCF.OB	Keyence Corp
KYKOF.OB	Kyowa Hakko Kogyo
KYNC.OB	Kyn Capital Group Inc
KYOCF.OB	Kyocera Corp
KYOCY.OB	Kyocera Corp
KYSRW.OB	Key Energy Services Inc [De] WT
KYUNF.OB	Kyushu Financial Group Inc
KYYWF.OB	Keywords Studios Plc
KYZN.OB	Kyzen Corp
KZMYF.OB	Kazakhmys Ltd
KZMYY.OB	Kaz Minerals Plc ADR
LAAB.OB	Startech Labs Inc
LAACZ.OB	Laaco Ltd L P Uts
LADFF.OB	New Carolin Gold Cor
LANPP.OB	Gladstone Land Corp
LANZ.OB	Lancer Orthodontics Inc
LAREF.OB	Lar Espana Real Estate Sa
LASLY.OB	Lentuo International Inc
LATF.OB	B& D Food Corp
LATNF.OB	Sterling Metals Corp
LAXAF.OB	Laxai Pharma Ltd
LAZYW.OB	Lazydays Holdings Inc WT Exp 12/01/2020
LBAS.OB	Location Based Techs
LBCC.OB	Long Blockchain Corp
LBCMF.OB	Libero Mining Corp
LBHRF.OB	Xgold Ltd
LBLCF.OB	Loblaw Companies Ltd
LBLTF.OB	Lattice Biologics Ltd
LBRDB.OB	Liberty Broadband CO
LBRG.OB	Ladybug Resource Grp
LBRMF.OB	Labrador Iron Mines Holdings Ltd
LBSI.OB	Liberty Bancshares Inc [Oh] Cdt-Cap Stk
LBSR.OB	Liberty Star Uranium
LBTD.OB	Lotus Bio-Technology Development Corp
LBTI.OB	Lithium & Boron Technology Inc
LBUY.OB	Leafbuyer Technologies Inc
LBWR.OB	Labwire Inc
LBYE.OB	Liberty Energy Corp
LCAR.OB	Lescarden Inc
LCCTF.OB	Loccitane Luxembourg
LCDX.OB	Lucid Inc
LCHD.OB	Leader Capital Holdings Corp
LCKYF.OB	Luckystrike Resources
LCLP.OB	Life Clips Inc
LCNTU.OB	Louisiana Central Oil & Gas CO
LCOMF.OB	Lifestyle Cmmtys Ltd
LCRE.OB	Lecere Corp
LCRTF.OB	Leucrotta Expl Inc
LCSHF.OB	Lancashire Holdings
LCTC.OB	Lifeloc
LCYFF.OB	Legal & Gen Ucits ETF Plc
LDDAF.OB	Lida Resources
LDKB.OB	Landmark Bancorp PA
LDNXF.OB	London Stock Exchange Group Plc
LDSCY.OB	Land Securities Group Plc ADR
LDSI.OB	Life Design Station
LDSN.OB	Luduson G
LDSVF.OB	Lindt & Sprungli Ag
LEAI.OB	Legacy Education Alliance Inc
LEAS.OB	Strategic Asset Leasing Inc
LEAT.OB	Leatt Corp
LECBF.OB	Lepanto Consolidated Mining
LEFUF.OB	Leon's Furniture Ltd
LEGX.OB	Legacyxchange Inc
LEHKQ.OB	Lehman Brothers Holdings Capital Trust III
LEHLQ.OB	Lehman Br Cap TR IV
LEHNQ.OB	Lehman Br Hld 6.24 N
LEIC.OB	Lead Innovation Corp
LEKOF.OB	Lekoil Ltd GBP Ord
LEMIF.OB	Leading Edge Materials Corp
LEON.OB	Leone Asset Management Inc
LFAP.OB	Lifeapps Brands Inc
LFBCF.OB	Life Bank & Split
LFCOF.OB	Lift & CO Corp
LFER.OB	Life On Earth Inc
LFEX.OB	Lucky Friday Ext Mines CO
LFGP.OB	Ledyard Financial Gr
LFIN.OB	Longfin Corp
LFLS.OB	Loans4Less.com Inc
LFPI.OB	Lifepoint Inc
LFSYF.OB	Lifestyle Internatio
LFSYY.OB	Lifestyle Intl Hlds
LGAH.OB	Lga Holdings Inc
LGBI.OB	Cannabiz Mobile Inc
LGBS.OB	Legends Business Grp
LGCP.OB	Legion Cap Corp
LGDDF.OB	Lagardere Groupe Sca Fgn
LGDTF.OB	Liberty Gold Corp
LGFRY.OB	Longfor Properties
LGGNF.OB	Legal & General Grou
LGGNY.OB	Legal & General Grou
LGIQ.OB	Logiq Inc.
LGLBF.OB	Gold Bullion Secs Nts2004
LGLOF.OB	Link Global Technologies Inc
LGMH.OB	Light Media Holdings Inc
LGNC.OB	Logan Clay Products CO
LGNDZ.OB	Ligand Pharma
LGNXZ.OB	Ligand Pharma
LGNYZ.OB	Ligand Pharma
LGNZZ.OB	Ligand Pharma
LGORF.OB	Largo Resources Ltd
LGRDY.OB	Legrand Sa ADR
LGRVF.OB	Legrand S.A.
LGSXY.OB	Light Sa
LGTT.OB	Ligatt Security Intl Inc
LGYV.OB	Legacy Ventures International Inc
LHGI.OB	Lighthouse Global Holdings Inc
LHHMQ.OB	Lehman Bro Cap V 6.0
LHIL.OB	Leader Hill Corp
LHRP.OB	Lifehouse Retirement Properties Inc
LHSIF.OB	Liberty Health Sciences Inc
LHUAF.OB	Lianhua Supermarket Holdings Ltd
LIACF.OB	American Lithium Corp
LIBC.OB	Liberty Bancorp
LIBFF.OB	Nova Mentis Life Sciences Corp
LICH.OB	Livechain Inc
LICT.OB	Lict Corp
LIFX.OB	Life360
LIFZF.OB	Labrador Iron Ore
LIGA.OB	Lig Assets Inc
LIHC.OB	Liberty International Holding Corp
LIMAF.OB	Linamar Corp
LINK.OB	Interlink Electronics Inc
LINS.OB	Life Insurance CO of Alabama
LINSA.OB	Life Ins CO Alabam A
LINUF.OB	Liniu Technology Group
LIOPY.OB	Lion Corp
LIQDQ.OB	Liquid Holdings Group Inc
LITH.OB	US Lithium Corp
LITOF.OB	Frontier Lithium
LIVC.OB	Live Current Media
LJUIF.OB	Ssy Group Ltd
LKAI.OB	Lka International IN
LKFLF.OB	Luk Fook Holdings IN
LKHLY.OB	Lonking Holdings Ltd ADR
LKMNF.OB	Lucky Minerals Inc
LKNCY.OB	Luckin Coffee Inc ADR
LKREF.OB	Link Real Estate Inv
LKSB.OB	Lakeside Bancshares Inc LA
LKSDQ.OB	Lsc Communications Inc
LKSGF.OB	Luks Group Vietnam Holdings CO Ltd
LKYSF.OB	Numinus Wellness Inc
LLBO.OB	Lifeline Biotech
LLDTF.OB	Lloyds Tsb Grp Plc
LLEIF.OB	Lleidanetworks Serveis Telematics S A
LLESY.OB	Lend Lease Corp Ltd
LLKKF.OB	Lake Resources NL [Australia]
LLLI.OB	Lamperd Less Lethal
LLNKF.OB	Litelink Technologies Inc
LMBHW.OB	Limbach Holdings Inc
LMDCF.OB	Lingo Media Corp
LMEFF.OB	Laurion Minerals Exp
LMGDF.OB	Lumina Gold Corp
LMGR.OB	Light Mgmt Group Inc
LMIBL.OB	Legg Mason Inc
LMICL.OB	Legg Mason Inc
LMLLF.OB	Aura Health Inc
LMMFF.OB	Lithium Australia NL
LMNGF.OB	Biovaxys Technology Corp
LMPMY.OB	Lee & Man Paper Manu
LMPRF.OB	Lamprell Plc Isle of Man
LMRMF.OB	Lomiko Metals Inc
LMRXF.OB	Laramide Res Ltd
LMSMF.OB	Lms Medical Sys Inc
LMSQF.OB	Latin Metals Inc
LMTI.OB	Laser Master International Inc
LMWW.OB	Lmww Holdings Inc
LNCLF.OB	Lincoln Gold Mining Inc
LNDNF.OB	Lundin Petroleum Ab
LNDT.OB	Liandi Clean Tech
LNEGY.OB	Lundin Energy Ab ADR
LNGB.OB	Longbau Group Inc
LNGLF.OB	Liquefied Natural GS
LNGLY.OB	Liquefied Natural GA
LNGPF.OB	Longfor Group Holdings Ltd
LNGT.OB	Laser Energetics Inc
LNHBF.OB	Lionhub Group Ltd
LNKB.OB	Linkbancorp Inc
LNLHF.OB	Leanlife Health Inc
LNNGF.OB	Li Ning Company Ltd
LNNGY.OB	Li Ning Company Ltd
LNNNY.OB	Leoni Ag ADR
LNSPF.OB	London & Stamford Ppt Ord
LNSTY.OB	London Stock Exchange Group Plc
LNTEF.OB	Lintec Corp
LNVGF.OB	Lenovo Group Ltd Ord
LNVGY.OB	Lenovo Group Ltd ADR
LNXGF.OB	Linux Gold Corp
LNXSF.OB	Lanxess Ag
LNXSY.OB	Lanxess Ag ADR
LOCMQ.OB	Local Corp
LOGL.OB	Legend Oil & Gas
LOGN.OB	Logansport Finl Cp
LOGQ.OB	Logicquest Technology Inc
LOGX.OB	Peerlogix Inc
LOMLF.OB	Lion One Metals Ltd
LONCF.OB	Loncor Resources Inc
LONE.OB	Lonestar Resources US Inc
LOOND.OB	Loon Energy Corp
LOONF.OB	Loon Energy Corp
LOTE.OB	Lot78 Inc
LOUIF.OB	Louis XiII
LOVFF.OB	Cannara Biotech Inc
LOVV.OB	Love International Group Inc
LPBC.OB	Lincoln Park Bancorp
LPHM.OB	Lee Pharmaceuticals
LPKFF.OB	Lpkf Laser & Elect Ag Ord
LPKGF.OB	Lupaka Gold
LPMDF.OB	Lippo Malls Indonesi
LPPI.OB	Leep Inc
LPPPF.OB	Loopshare Ltd
LPRRF.OB	Laurent Perrier Group
LPSIF.OB	Legend Power Sys Inc
LPTC.OB	Leap Technology Inc
LPTI.OB	Longport Inc
LPTV.OB	Loop Media Inc
LQMT.OB	Liquidmetal Tech
LQRCF.OB	Black Mammoth Metals Corp
LQSIF.OB	Liquor Stores Inc
LQWC.OB	Lifequest World Cp
LRAXF.OB	Lara Exploration Ltd
LRCDF.OB	Laurentian Bk Cda Qu
LRCFF.OB	Lovitt Resources Inc
LRDC.OB	Laredo Oil Inc
LRDG.OB	Lord Global Corp
LRDJF.OB	ST James Gold Corp
LRDR.OB	Laredo Resources Corp
LRENY.OB	Lojas Renner Sa ADR
LRGR.OB	Luminar Media Group Inc
LRLCF.OB	L'Oreal CO Act
LRLCY.OB	L'Oreal CO ADR
LRSNF.OB	Global Health Clinics Ltd
LRSV.OB	Link Reservations Inc
LRTNF.OB	Pure Gold Mining Inc
LRTTD.OB	Liberty One Lithium Corp
LRTTF.OB	Liberty One Lithium Corp
LSANF.OB	Los Andes Copper Ltd
LSCG.OB	Lighting Science Grp
LSFG.OB	Lifestore Financial
LSGOF.OB	Land Securities Grp
LSKA.OB	Liska Biometry Inc
LSLCF.OB	Lachlan Star Ltd
LSLPF.OB	Lsl Property Service
LSMG.OB	Lode-Star Mining Inc
LSRCY.OB	Lasertec Corp
LSSDF.OB	Radius Global Infrastructure Inc
LSYN.OB	Liberated Syndication Inc
LTCCF.OB	Lite Access Technologies Inc
LTCN.OB	Grayscale Litecoin TR Ltc
LTCP.OB	Lifes Time Capsule Services Inc
LTEC.OB	Loud Technologies Inc
LTFD.OB	Littlefield Corp
LTGHY.OB	Life Healthcare
LTGJ.OB	Xiamen Lutong International Travel Agency CO
LTHHF.OB	Lithium Power Intl
LTHIF.OB	Lithic Resources Ltd
LTHO.OB	Legacy Tech Holdings Inc
LTHUQ.OB	Lithium Tech Cp
LTKBF.OB	Logistec Corp
LTMAQ.OB	Latam Airlines Group S.A.
LTMCF.OB	Lithium Chile
LTMP.OB	Alltemp Inc
LTNC.OB	Labor Smart Inc
LTOUF.OB	Larsen & Toubro Ltd
LTRE.OB	Learning Tree International
LTSA.OB	Ladenburg Thalmann Financial Services Inc 8.00%
LTSC.OB	Lightscape Techs Inc
LTSF.OB	Ladenburg Thalmann Financial Services Inc 7.00%
LTSH.OB	Ladenburg Thalmann Financial Services Inc
LTSK.OB	Ladenburg Thalmann Financial Services Inc 7.25%
LTSL.OB	Ladenburg Thalmann Financial Services Inc 6.50%
LTSY.OB	Litian Group
LTTC.OB	Lattice Inc
LTTGF.OB	Lottogopher Holdings Inc
LTTHF.OB	Learning Technologies Group Plc
LTTSF.OB	Lotus Ventures Inc
LTUM.OB	Lithium Corp
LTUS.OB	Lotus Pharmaceutical
LUCC.OB	Luca Inc
LUCRF.OB	Lucara Diamond Corp
LUDG.OB	Ludwig Enterprises
LUKOY.OB	Lukoil CO ADR
LUMB.OB	Lumbee Guaranty Bank Pembroke NC
LUMIF.OB	Luminex Resources Corp
LUNMF.OB	Lundin Mng Corp
LUPGF.OB	Loopup Group Plc
LUSI.OB	Mma Global Inc
LUVU.OB	Liberator Inc
LVBX.OB	Levelblox Inc
LVCA.OB	Lake Victoria Mining
LVCLF.OB	Living Cell Technologies Ltd
LVCLY.OB	Living Cell Tech ADR
LVCNF.OB	Leviathan Cannabis Group Inc
LVGI.OB	Limitless Venture Group Inc
LVMHF.OB	Lvmh Moet Henn L Vut
LVMUY.OB	Lvmh Moet Henn
LVNSF.OB	Leonovus Inc
LVRLF.OB	Livereel Media Corp
LVSDF.OB	Lai Sun Development CO Ltd
LVTSF.OB	Livetiles Ltd
LVVV.OB	Livewire Ergogenics
LVWD.OB	Liveworld Inc
LWCL.OB	Lewis & Clark Bk Ore
LWCTF.OB	Low Carbon
LWLG.OB	Lightwave Logic Inc
LWSCF.OB	Leisureworld Sr Care
LXAM.OB	Lux Amber Corp
LXENF.OB	Lithium Energi
LXGTF.OB	Lexington Biosciences Inc
LXRP.OB	Lexaria Corp
LXXGF.OB	Lexagene Holdings
LYBC.OB	Lyons Bancorp Inc
LYDIF.OB	Lydian Intl Ltd
LYJN.OB	Lyric Jeans Inc
LYNS.OB	Lightyear Network
LYSCF.OB	Lynas Corp
LYSDY.OB	Lynas Rare Earths Ltd
LYSFF.OB	Leroy Seafood Group
LYSFY.OB	Leroy Seafood Group ASA
LYXIF.OB	Lyxor International Asset Management Fcp Units A
LZAGF.OB	Lonza Group Ltd
LZAGY.OB	Lonza Group Ag
LZRFY.OB	Localiza Rent A Car
MAAFF.OB	Magindustries Corp
MAAL.OB	Marketing Alliance
MAANF.OB	Maanshan Iron & Stee
MACE.OB	Mace Security International Inc
MACQF.OB	Themac Resources Grp Ltd
MADI.OB	Madison Systems Inc
MAGE.OB	Magellan Gold Corp
MAGOY.OB	Man Ag ADR
MAGP.OB	Magplane Technology Inc
MAHI.OB	Monarch Svcs Inc
MAHLY.OB	Medipal Holdings Corp
MAHMF.OB	Mahindra&Mahindra Dp
MAIFF.OB	Minera Alamos
MAJCQ.OB	Majestic Capital Ltd
MAKAF.OB	Makara Mng Corp
MAKOF.OB	Mako Mining Corp
MAKSF.OB	Marks & Spen Grp Ord
MAKSY.OB	Marks & SP Gp ADR
MALDF.OB	Macau Legend Development Ltd
MALJF.OB	Magellan Aerospace C
MALRY.OB	Mineral Resources Ltd
MAMTF.OB	Mcan Mortgage Corp
MANZF.OB	Manz Automation Ag
MAOMF.OB	Maudore Minerals Ltd
MAORF.OB	Mandarin Oriental IN
MAPGF.OB	Mapletree Logistics Trust Units Real Estate Inve
MAPIF.OB	Mapletree Industrial TR
MAPL.OB	Maple Press CO
MAPT.OB	Maptelligent Inc
MAQAF.OB	Macquarie Atlas
MARUF.OB	Marubeni Corp
MARUY.OB	Marubeni Corp ADR
MARXF.OB	Marenica Energy Ltd
MARZF.OB	Marstons Plc
MATN.OB	Mateon Therapeutics Inc
MAURY.OB	Marui Group CO Ltd
MAVBF.OB	Mav Beauty Brands Inc
MAWHF.OB	Man Wah Holdings
MAWHY.OB	Man Wah Holdings Ltd
MAXC.OB	Maxcyte Inc
MAXD.OB	Max Sound Corp
MAXMF.OB	Standard Explora Ltd
MAYNF.OB	Mayne Pharma
MBAIF.OB	Cibt Education Group Inc
MBCFF.OB	Mbac Fertilizer Corp
MBCI.OB	Mabcure Inc
MBDE.OB	Morris Business Devl
MBFJF.OB	Mitsubishi Ufj Finan
MBHCF.OB	Mbh Corporation Plc
MBKL.OB	Metairie Bk & TR [La
MBLU.OB	Morris ST Bancshares Inc
MBLV.OB	Mobiventures Inc
MBNKF.OB	Metro Bank Plc
MBOF.OB	Marine Bancorp Fla Inc
MBPFF.OB	Mitchells & Butlers Ord
MBUMY.OB	Mabuchi Motor Co. Ltd
MBVA.OB	Millennium Bankshares Corp
MBXBF.OB	Microbix Biosystems
MBYMF.OB	Mountain Boy Mineral
MCAP.OB	Mango Capital Inc
MCARY.OB	Mercari Inc ADR
MCBI.OB	Mountain Commerce Bancorp Inc
MCBK.OB	Madison County Financial Inc
MCBP.OB	Michigan Commuty Bncrp
MCCHF.OB	Mcchip Resources Inc
MCCK.OB	Mestek Inc
MCCLF.OB	Macromill Inc
MCCRF.OB	Mccoy Global Inc
MCCX.OB	Mcx Technologies Corp
MCDA.OB	Kma Hld Inc
MCDIF.OB	McDermott International Ltd
MCDMF.OB	Macdonald Mines Exploration Ltd
MCELQ.OB	Millennium Cell IN
MCEM.OB	Monarch Cement CO
MCESF.OB	Macro Enterprises
MCET.OB	Multicell Techs Inc
MCFUF.OB	Micro Focus Intl Plc
MCHA.OB	Matchaah Holdings Inc
MCHB.OB	Mechanics Bk [Ca]
MCHHF.OB	Macmahon Holdings Ltd
MCHOY.OB	Multichoice Group Ltd ADR
MCHVF.OB	MGM China Holdings L
MCHVY.OB	MGM China Holdings Ltd ADR
MCIC.OB	Multicorp International Inc
MCIM.OB	Macau Capital Investments Inc
MCKRF.OB	Manson Creek Resources Ltd
MCLDF.OB	Mcloud Technologies Corp
MCOA.OB	Marijuana Company of America Inc
MCOIF.OB	Multichoice Group Ltd
MCPH.OB	Midland Cap Hlds
MCQEF.OB	Macquarie Group
MCRAA.OB	Mcrae Inds Cl A
MCREF.OB	Metals Creek Res
MCRPF.OB	Microport Scientific
MCRZF.OB	Mincor Resources
MCSHF.OB	Metcash Ltd
MCTH.OB	Medical Connections
MCUJF.OB	Medicure Inc
MCURF.OB	Mind Cure Health Inc
MCVT.OB	Mill City Ventures III Ltd
MCZAF.OB	Mad Catz Interactive Inc
MDAV.OB	Davi Luxury Brand Group Inc
MDBIF.OB	Medibio Ltd
MDBS.OB	Master Distribution Systems
MDCE.OB	Medical Care Technol
MDCLF.OB	Medincell
MDCN.OB	Medican Enterprises Inc
MDDNF.OB	Meridian Energy Ltd
MDEVF.OB	Melco Intl Devel
MDEX.OB	Madison Technologies Inc
MDFZF.OB	Medifocus Inc
MDGC.OB	Mediag3 Inc
MDGEF.OB	Medigene Ag
MDGP.OB	Medgroup Inc
MDIBY.OB	Mediobanca Spa ADR
MDIN.OB	Northstar Global Bus
MDIT.OB	Medite Cancer Diagnostics Inc
MDKM.OB	Mdechem Inc
MDLH.OB	Medical Intl Tech
MDMN.OB	Medinah Minerals Inc
MDMP.OB	Mdm Permian Inc
MDNDF.OB	McDonalds CO Ltd Tokyo
MDNGF.OB	Midnight Sun Mining
MDNNF.OB	Niobay Metals Inc
MDRM.OB	Modern Mobility Aids
MDRPF.OB	Midas Gold Corp
MDSMF.OB	Medusa Mining Ltd
MDTC.OB	Media Techs Inc
MDTWF.OB	Mediterranean Towers Ltd
MDVT.OB	Middlebury Natl Corp
MDWK.OB	Mdwerks Inc
MDXHF.OB	Medx Health Corp
MDXL.OB	Medixall Group Inc
MDXX.OB	Medex Inc
MECVF.OB	Mediagrif Interactive Technologies Inc
MEDD.OB	Medical Imaging Corp
MEDGF.OB	Medacta Group Sa
MEDH.OB	Medx Holdings Inc
MEDIF.OB	Medipharm Labs Corp
MEDT.OB	Mediatechnics Corp
MEDXF.OB	Medexus Pharmaceuticals Inc
MEEC.OB	Midwest Energy Emissions Corp
MEGEF.OB	Meg Energy Corp
MEGGF.OB	Meggitt Plc
MEGGY.OB	Meggitt Plc
MEGH.OB	Megalith Corp
MEIL.OB	Methes Energies International L
MEJHY.OB	Meiji Holdings Ltd
MEMI.OB	Miracle Entmt Inc
MENB.OB	Mendocino Brewing CO
MENC.OB	Millennium Energy Corp
MENEF.OB	Mene Inc
MENXF.OB	Memex Inc Ordinary Shares [Ca
MEOAF.OB	Melbana Energy Ltd
MEOBF.OB	Mesoblast Ltd
MERR.OB	Merriman Holdings
MEXGF.OB	Mexican Gold Corp
MFBP.OB	M&F Bancorp Inc
MFCO.OB	Microwave Filter C
MFCSF.OB	Medical Facs Corp
MFDB.OB	Mutual Federal Bcp
MFGI.OB	Merchants Financial Group Inc
MFMLF.OB	Marifil Mines Ltd
MFON.OB	Mobivity Holdings Corp
MFRVF.OB	Minera Frisco Sab DE
MFST.OB	Medifirst Solutions
MGAFF.OB	Mega Uranium Ltd
MGAG.OB	Mortgage Oil Corp
MGAWY.OB	Megaworld Corp ADR
MGCLF.OB	Mgc Pharmaceuticals Ltd
MGDDF.OB	Michelin Cie Gen Des
MGDDY.OB	Compagnie Generale D
MGDPF.OB	Marathon Gold Corp
MGHCF.OB	Minco Gold Corp
MGHL.OB	Morgan Group Hlds CO
MGIDF.OB	Magnum Goldcorp Inc
MGLDF.OB	Medgold Resources Corp
MGLG.OB	Magellan Energy Ltd
MGLO.OB	Media Globo Corp
MGLQF.OB	Magna Gold Corp
MGMA.OB	Metro Global Media Inc
MGMLF.OB	Maple Gold Mines Ltd
MGNT.OB	Meganet Corp
MGON.OB	Megola Inc
MGPC.OB	Moregain Pictures Inc
MGPHF.OB	Mason Graphite
MGPPF.OB	Megaport Ltd
MGPUF.OB	M&G Plc
MGROF.OB	Mustgrow Biologics Corp
MGRUF.OB	Morguard Real Est UT
MGTC.OB	Megatech Corp
MGTI.OB	MGT Capital Investments Inc
MGUY.OB	Mogul Energy Intl
MGVMF.OB	Musgrave Minerals Ltd
MGWFF.OB	Maple Leaf Green Wor
MGXMF.OB	Mgx Minerals Inc
MGXRF.OB	Mgx Renewables Inc
MGYOY.OB	Mol Magyar Olaj Gaz
MHCC.OB	Millennium Healthcare Inc
MHGI.OB	Midnight Holdings Group
MHGU.OB	Meritage Hosp Gr
MHGUP.OB	Meritage Hospitality Group Inc Pfd Conv Ser B
MHGVY.OB	Marine Harvest ASA ADR [Norway]
MHHC.OB	Mhhc Enterprises Inc.
MHIVF.OB	Mainstreet Health Investments Inc
MHPC.OB	Manufactured Housing Properties Inc
MHSDF.OB	Megacable Hld Ord
MHTX.OB	Manhattan Scients
MHTZF.OB	Manhattan Corp Ord
MHVYF.OB	Mitsubishi Heavy Ind
MICCF.OB	Millcom Swed Dep Rec
MICR.OB	Micron Solutions Inc
MICWF.OB	Beyond Med Tech Inc
MIDLF.OB	Midland Expl Inc
MIELF.OB	Mitsubishi Elect Cor
MIELY.OB	Mitsubishi Elect Cor
MIESF.OB	Mitsui E&S Holdings Co. Ltd
MIHI.OB	Medical Innovation Holdings Inc
MIHL.OB	Montague International Holding Ltd
MIILF.OB	Minor International Public CO Ltd
MIKP.OB	Mike The Pike Produc
MILC.OB	Millennium Investment & Acquisition CO
MILTY.OB	Mills Estruturas E Servicos DE Engenharia Sa
MIMZF.OB	Nighthawk Gold Corp
MINE.OB	Minerco Res Inc
MINM.OB	Zoom Telephonics Inc
MINRF.OB	Minor International Public Co. Ltd
MISVF.OB	Minco Silver Corp
MITEF.OB	Mitsubishi Estate CO Ltd
MITEY.OB	Mitsubishi Estate CO
MITFF.OB	Mitie Group Plc
MITFY.OB	Mitie Group Plc ADR
MITI.OB	Mitesco Inc
MITJF.OB	Mint Corp
MITPF.OB	Mithra Pharmaceuticals Sa
MITSF.OB	Mitsui & CO Ltd
MITSY.OB	Mitsui & Company
MITUY.OB	Mitsui Chemicals Inc [Japan] ADR
MIXIF.OB	Mixi Inc Tokyo
MIXX.OB	Mix 1 Life Inc
MJARF.OB	Mjardin Group Inc
MJDLF.OB	Major Drilling Grp I
MJDS.OB	Mojo Data Solutions Inc
MJGCF.OB	Majestic Gold Corp
MJHI.OB	Mj Harvest Inc
MJLB.OB	Ultrack Systems Inc
MJNA.OB	Medical Marijuana I
MJNE.OB	Mj Holdings Inc
MJTK.OB	Cannasys Inc
MJTV.OB	Michael James Enterprises Inc
MJWL.OB	Majic Wheels Corp
MJWNF.OB	Majestic Wine Plc
MKEAF.OB	Mauna Kea Technologies
MKEWF.OB	Makita Corp
MKGAF.OB	Merck Kgaa Dm 5
MKGP.OB	Maverick Energy Grp Ltd
MKKGY.OB	Merck Kgaa ADR
MKMLF.OB	Makino Milling
MKNGF.OB	Mkango Res Ltd
MKRIF.OB	Melkior Resources IN
MKRO.OB	Monkey Rock Group Inc
MKRS.OB	Mikros Sys Corp
MKRYF.OB	Manitok Energy Inc
MKSEF.OB	Marksmen Energy Inc
MKTAY.OB	Makita Corp
MKTDF.OB	Deepmarkit Corp
MKTY.OB	Mechanical Technolgy
MKVNF.OB	District Metals Corp
MLCG.OB	ML Capital Group Inc
MLCOF.OB	Mountain China Resorts Holdings Ltd
MLFB.OB	Universal Cap Mgmt
