Symbol	Description
AMLYY.OB	Amp Ltd ADR
AMLZF.OB	African Minerals Ltd
AMMCF.OB	Amur Minerals Corp Ord
AMMJ.OB	American Cannabis Company Inc
AMMX.OB	Ameramex Intl Inc
AMMXD.OB	Ameramex Intl Inc
AMNC.OB	Amincor Inc A
AMNCB.OB	Amincor Inc B
AMNE.OB	American Green Group Inc
AMNF.OB	Armanino Foods
AMNL.OB	Applied Minerals Inc
AMNP.OB	American Sierra Gold
AMNZF.OB	Ambrian Plc
AMOSF.OB	Atomos Ltd
AMOVF.OB	America Movil S.A.B. DE Cv
AMPG.OB	Amplitech Group
AMPYW.OB	Amplify Energy Corp WT Exp 05/04/2022
AMRA.OB	American Racing Capital Inc
AMRR.OB	American Metals Recovery & Recycling Inc
AMRU.OB	Amaru Inc
AMRZF.OB	Arena Minerals Inc
AMSA.OB	American Seniors Association Holding Group Inc
AMSIY.OB	Arcelormittal ADR
AMSLF.OB	Australian Mines Ltd
AMSSY.OB	Ams Ag ADR
AMSU.OB	Amanasu Environmnt Corp
AMSYF.OB	Arcelormittal Sa
AMTCQ.OB	Ameritrans Capital Corp
AMTPQ.OB	Ameritrans Cap 9.375 Pfd
AMTY.OB	Amerityre Corp
AMVMF.OB	Amg Advanced Metal
AMWK.OB	Ameristar Network Inc
AMXEF.OB	AMEX Exploration
AMXVF.OB	America Movil S.A.B. DE C.V.
AMYZF.OB	American Manganese Inc
ANAS.OB	Alternaturals Inc
ANAV.OB	Alpha Network Alliance Ventures Inc
ANCE.OB	Restance Inc
ANCTF.OB	Alimentat Cou Mulvtg
ANCUF.OB	Alimentation Couche-Tard Inc
ANDD.OB	Anr Inc Contingent Rev Pmt Rt 03/31/2023
ANDHF.OB	Andlauer Healthcare Group Inc
ANDI.OB	Andiamo Corp
ANDR.OB	Andritz Ag
ANEWF.OB	Australia & N Z Bkg
ANFC.OB	Black Ridge Oil & Gas Inc
ANFGF.OB	Antofagasta Plc Ord
ANFIF.OB	Amira Nature Foods Ltd
